Trans. Date,Post Date,Description,Amount,Category
08/25/2015,08/27/2015,"DS SERVICES NORTHWOOD IA",21.95,"Supermarkets"
08/26/2015,08/27/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
08/27/2015,08/27/2015,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
08/27/2015,08/27/2015,"SHADE TREE LIQUORS NORTHWOOD IA",19.04,"Merchandise"
08/29/2015,08/29/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",10.98,"Gasoline"
08/29/2015,08/29/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
08/29/2015,08/29/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",14.54,"Supermarkets"
08/30/2015,08/30/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
08/31/2015,08/31/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",13.90,"Gasoline"
08/31/2015,08/31/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
08/31/2015,08/31/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",6.36,"Supermarkets"
09/01/2015,09/01/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
09/01/2015,09/01/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/01/2015,09/01/2015,"PLAYSTATION SONYENTERT 800-345-7669 CA23DD9A75C",49.99,"Merchandise"
09/02/2015,09/02/2015,"NORTH STAR XPRESS NORHTWOOD IA",9.37,"Gasoline"
09/03/2015,09/03/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.32,"Gasoline"
09/03/2015,09/03/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/04/2015,09/04/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
09/05/2015,09/05/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
09/05/2015,09/05/2015,"DS SERVICES NORTHWOOD IA",26.19,"Supermarkets"
09/06/2015,09/06/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.98,"Gasoline"
09/06/2015,09/06/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/07/2015,09/07/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.34,"Gasoline"
09/07/2015,09/07/2015,"DS SERVICES NORTHWOOD IA",19.34,"Supermarkets"
09/08/2015,09/08/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/08/2015,09/08/2015,"GOOGLE *MUSIC GOOGLE.COM/CHCAP04T3VQQ",0.69,"Merchandise"
09/08/2015,09/08/2015,"INTERNET PAYMENT - THANK YOU",-300.00,"Payments and Credits"
09/08/2015,09/08/2015,"NORTH STAR XPRESS NORHTWOOD IA",1.04,"Gasoline"
09/09/2015,09/09/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",4.90,"Gasoline"
09/09/2015,09/09/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/10/2015,09/10/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",11.94,"Gasoline"
09/11/2015,09/11/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
09/11/2015,09/11/2015,"DS SERVICES NORTHWOOD IA",19.34,"Supermarkets"
09/11/2015,09/11/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",11.99,"Supermarkets"
09/12/2015,09/12/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",7.50,"Gasoline"
09/12/2015,09/12/2015,"DS SERVICES NORTHWOOD IA",19.77,"Supermarkets"
09/13/2015,09/13/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",6.15,"Gasoline"
